id,q,r
1,"""abc""","""def"""
2,"""abc""","""def"""
3,"""abc""","""def"""
4,"""abc""","""def"""
5,"""abc""","""def"""
6,"""abc""","""def"""
7,"""abc""","""def"""
15,"""abc""","""def"""
16,"""abc""","""def"""
17,"""abc""","""def"""
18,"""abc""","""def"""
19,"""abc""","""def"""
20,"""abc""","""def"""
21,"""abc""","""def"""
22,"""abc""","""def"""
23,"""abc""","""def"""
24,"""abc""","""def"""
25,"""abc""","""def"""
26,"""abc""","""def"""
27,"""abc""","""def"""
28,"""abc""","""def"""
43,"""abc""","""def"""
44,"""abc""","""def"""
45,"""abc""","""def"""
46,"""abc""","""def"""
47,"""abc""","""def"""
48,"""abc""","""def"""
49,"""abc""","""def"""
50,"""abc""","""def"""
51,"""abc""","""def"""
52,"""abc""","""def"""
53,"""abc""","""def"""
54,"""abc""","""def"""
55,"""abc""","""def"""
56,"""abc""","""def"""
64,"""abc""","""def"""
65,"""abc""","""def"""
66,"""abc""","""def"""
67,"""abc""","""def"""
68,"""abc""","""def"""
69,"""abc""","""def"""
70,"""abc""","""def"""
71,"""abc""","""def"""
72,"""abc""","""def"""
73,"""abc""","""def"""
74,"""abc""","""def"""
75,"""abc""","""def"""
76,"""abc""","""def"""
77,"""abc""","""def"""
99,"""abc""","""def"""
100,"""abc""","""def"""
101,"""abc""","""def"""
102,"""abc""","""def"""
103,"""abc""","""def"""
104,"""abc""","""def"""
105,"""abc""","""def"""
113,"""abc""","""def"""
114,"""abc""","""def"""
115,"""abc""","""def"""
116,"""abc""","""def"""
117,"""abc""","""def"""
118,"""abc""","""def"""
119,"""abc""","""def"""
183,"""abc""","""def"""
184,"""abc""","""def"""
185,"""abc""","""def"""
186,"""abc""","""def"""
187,"""abc""","""def"""
188,"""abc""","""def"""
189,"""abc""","""def"""
232,"""abc""","""def"""
233,"""abc""","""def"""
234,"""abc""","""def"""
235,"""abc""","""def"""
236,"""abc""","""def"""
237,"""abc""","""def"""
238,"""abc""","""def"""
253,"""abc""","""def"""
254,"""abc""","""def"""
255,"""abc""","""def"""
256,"""abc""","""def"""
257,"""abc""","""def"""
258,"""abc""","""def"""
259,"""abc""","""def"""
274,"""abc""","""def"""
275,"""abc""","""def"""
276,"""abc""","""def"""
277,"""abc""","""def"""
278,"""abc""","""def"""
279,"""abc""","""def"""
280,"""abc""","""def"""
302,"""abc""","""def"""
303,"""abc""","""def"""
304,"""abc""","""def"""
305,"""abc""","""def"""
306,"""abc""","""def"""
307,"""abc""","""def"""
308,"""abc""","""def"""
323,"""abc""","""def"""
324,"""abc""","""def"""
325,"""abc""","""def"""
326,"""abc""","""def"""
327,"""abc""","""def"""
328,"""abc""","""def"""
329,"""abc""","""def"""
337,"""abc""","""def"""
338,"""abc""","""def"""
339,"""abc""","""def"""
340,"""abc""","""def"""
341,"""abc""","""def"""
342,"""abc""","""def"""
343,"""abc""","""def"""
351,"""abc""","""def"""
352,"""abc""","""def"""
353,"""abc""","""def"""
354,"""abc""","""def"""
355,"""abc""","""def"""
356,"""abc""","""def"""
357,"""abc""","""def"""
386,"""abc""","""def"""
387,"""abc""","""def"""
388,"""abc""","""def"""
389,"""abc""","""def"""
390,"""abc""","""def"""
391,"""abc""","""def"""
392,"""abc""","""def"""
463,"""abc""","""def"""
464,"""abc""","""def"""
465,"""abc""","""def"""
466,"""abc""","""def"""
467,"""abc""","""def"""
468,"""abc""","""def"""
469,"""abc""","""def"""
470,"""abc""","""def"""
471,"""abc""","""def"""
472,"""abc""","""def"""
473,"""abc""","""def"""
474,"""abc""","""def"""
475,"""abc""","""def"""
476,"""abc""","""def"""
554,"""abc""","""def"""
555,"""abc""","""def"""
556,"""abc""","""def"""
557,"""abc""","""def"""
558,"""abc""","""def"""
559,"""abc""","""def"""
560,"""abc""","""def"""
666,"""abc""","""def"""
667,"""abc""","""def"""
668,"""abc""","""def"""
669,"""abc""","""def"""
670,"""abc""","""def"""
671,"""abc""","""def"""
672,"""abc""","""def"""
729,"""abc""","""def"""
730,"""abc""","""def"""
731,"""abc""","""def"""
732,"""abc""","""def"""
733,"""abc""","""def"""
734,"""abc""","""def"""
735,"""abc""","""def"""
757,"""abc""","""def"""
758,"""abc""","""def"""
759,"""abc""","""def"""
760,"""abc""","""def"""
761,"""abc""","""def"""
762,"""abc""","""def"""
763,"""abc""","""def"""
785,"""abc""","""def"""
786,"""abc""","""def"""
